StorageDays,PercentLossRA,PercentLossCA
0,0,0
1,9.509139698066563e-5,6.471590841090197e-5
2,1.9084654573569074e-4,1.2981406954875804e-4
3,2.872718677699518e-4,1.95297478292996e-4
4,3.84373863006722e-4,2.611691569199444e-4
5,4.821591108596958e-4,3.274321553723286e-4
6,5.806342713201955e-4,3.940895515314041e-4
7,6.798060860601016e-4,4.6114445149195854e-4
8,7.796813795504683e-4,5.285999898400132e-4
9,8.80267060196227e-4,5.964593299334423e-4
10,9.815701214871617e-4,6.647256641853574e-4
11,0.0010835976431653148,7.334022143504274e-4
12,0.001186356792409242,8.024922318140768e-4
13,0.0012898548250351444,8.719989978846696e-4
14,0.0013940990867153044,9.419258240886026e-4
15,0.0014990970142140098,0.0010122760524684665
16,0.0016048561366411446,0.0010830530558841728
17,0.0017113840767239118,0.001154260238317207
18,0.0018186885520966485,0.0012259010351779454
19,0.0019267773766093559,0.0012979789136161046
20,0.0020356584616548767,0.0013704973728343312
21,0.002145339817515232,0.001443459944405038
22,0.0022558295547273205,0.001516870192590409
23,0.0023671358854681843,0.0015907317146656996
24,0.002479267124960282,0.0016650481412457951
25,0.002592231692896921,0.0017398231366151443
26,0.002706038114888218,0.0018150603990610033
27,0.00282069502392792,0.001890763661210132
28,0.0029362111618812282,0.001966936690368834
29,0.0030525953809941928,0.0020435832888665573
30,0.003169856645424702,0.002120707294402953
31,0.003288004032795666,0.0021983125803984455
32,0.0034070467357704658,0.002276403056348443
33,0.0035269940636511697,0.0023549826681810923
34,0.003647855443999811,0.0024340553986187223
35,0.0037696404242829364,0.0025136252675429793
36,0.0038923586735400417,0.0025936963323636326
37,0.004016019984075907,0.002674272688391228
38,0.004140634273177443,0.0027553584692134557
39,0.00426621158485533,0.0028369578470754282
40,0.00439276209161071,0.0029190750332637808
41,0.004520296096227484,0.0030017142784947506
42,0.004648824033590404,0.0030848798733061865
43,0.00477835647252952,0.0031685761484535405
44,0.0049089041176911645,0.0032528074753099337
45,0.005040477811436059,0.0033375782662703087
46,0.0051730885357648415,0.0034228929751597
47,0.005306747414271354,0.0035087560976456503
48,0.0054414657141242835,0.003595172171654896
49,0.005577254848077359,0.00368214577779424
50,0.005714126376508706,0.003769681539775808
51,0.0058520920094896345,0.00385778412484657
52,0.005991163608883399,0.003946458244222271
53,0.006131353190474358,0.004035708653525864
54,0.006272672926127869,0.004125540153230321
55,0.006415135145981559,0.004215957589106069
56,0.006558752340668227,0.0043069658526728935
57,0.006703537163571017,0.0043985698816565895
58,0.006849502433111245,0.004490774660450173
59,0.00699666113506929,0.004583585220579854
60,0.007145026424939291,0.004677006641175811
61,0.007294611630317745,0.004771044049447698
62,0.007445430253326942,0.004865702621165105
63,0.007597495973073434,0.0049609875811428665
64,0.007750822648142128,0.00505690420373138
65,0.00790542431912664,0.005153457813311918
66,0.008061315211196261,0.00525065378479702
67,0.008218509736700276,0.005348497544136015
68,0.008377022497809958,0.005446994568825685
69,0.008536868289198984,0.0055461503884262076
70,0.008698062100762766,0.005645970585082351
71,0.00886061912037718,0.005746460794050001
72,0.009024554736697478,0.005847626704228094
73,0.009189884541997727,0.005949474058695999
74,0.009356624335051578,0.006052008655256409
75,0.009524790124054883,0.0061552363469837695
76,0.009694398129590664,0.006259163042778359
77,0.009865464787637383,0.006363794707926019
78,0.010038006752620732,0.006469137364663646
79,0.010212040900509926,0.006575197092750465
80,0.010387584331958879,0.006681980030045134
81,0.010564654375493254,0.006789492373088832
82,0.010743268590743645,0.006897740377694257
83,0.010923444771725965,0.0070067303595407054
84,0.01110520095016949,0.0071164686947751965
85,0.011288555398893282,0.007226961820619868
86,0.01147352663523181,0.007338216235985493
87,0.011660133424510461,0.007450238502091332
88,0.011848394783571525,0.007563035243091362
89,0.012038329984351667,0.007676613146706899
90,0.012229958557511335,0.007790978964865733
91,0.01242330029611716,0.007906139514347817
92,0.012618375259377906,0.00802210167743755
93,0.012815203776434862,0.008138872402582813
94,0.013013806450207513,0.008256458705060733
95,0.013214204161295134,0.008374867667650266
96,0.01341641807193538,0.008494106441311718
97,0.013620469630020449,0.008614182245873233
98,0.013826380573171863,0.008735102370724317
99,0.014034172932874671,0.008856874175516501
100,0.01424386903867185,0.008979505090871153
101,0.014455491522419976,0.00910300261909467
102,0.014669063322606896,0.009227374334900857
103,0.014884607688732378,0.009352627886140878
104,0.015102148185752721,0.00947877099454059
105,0.015321708698590217,0.009605811456445533
106,0.015543313436708318,0.009733757143573524
107,0.01576698693875367,0.009862616003775013
108,0.01599275407726595,0.009992396061801242
109,0.016220640063456276,0.010123105420080276
110,0.016450670452055567,0.010254752259501065
111,0.016682871146233624,0.010387344840205516
112,0.016917268402589974,0.010520891502388711
113,0.017153888836217795,0.0106554006671074
114,0.017392759425841578,0.010790880837096724
115,0.01763390751903003,0.010927340597595436
116,0.017877360837485062,0.011064788617179494
117,0.01812314748240803,0.011203233648604347
118,0.018371295939944486,0.011342684529655776
119,0.0186218350867084,0.011483150184009569
120,0.018874794195387262,0.011624639622099954
121,0.019130202940428956,0.011767161941997086
122,0.01938809140381198,0.011910726330293438
123,0.01964849008089982,0.012055342062999377
124,0.019911429886381116,0.01220101850644794
125,0.02017694216029664,0.012347765118208932
126,0.020445058674154422,0.012495591448012426
127,0.020715811637134304,0.012644507138681739
128,0.020989233702383328,0.012794521927076054
129,0.02126535797340323,0.012945645645042726
130,0.021544218010531344,0.013097888220379373
131,0.0218258478375164,0.013251259677805938
132,0.022110281948190633,0.013405770139946621
133,0.022397555313239337,0.013561429828322109
134,0.022687703387069803,0.013718249064351862
135,0.022980762114780638,0.013876238270366804
136,0.023276767939233188,0.014035407970632428
137,0.023575757808226502,0.014195768792382407
138,0.023877769181777357,0.01435733146686291
139,0.02418284003950702,0.014520106830387638
140,0.024491008888136018,0.014684105825403696
141,0.024802314769088882,0.014849339501568519
142,0.025116797266210245,0.015015819016837868
143,0.025434496513593953,0.01518355563856497
144,0.02575545320352699,0.01535256074461111
145,0.026079708594549694,0.015522845824467543
146,0.026407304519634314,0.015694422480389048
147,0.02673828339448321,0.015867302428539128
148,0.02707268822594886,0.016041497500147037
149,0.027410562620577304,0.016217019642676724
150,0.027751950793276706,0.016393880921007797
151,0.028096897576113243,0.016572093518628726
152,0.028445448427235773,0.016751669738842297
153,0.028797649439931572,0.016932622005983486
154,0.029153547351814746,0.01711496286664997
155,0.029513189554149485,0.017298704990945213
156,0.029876624101310166,0.017483861173734475
157,0.030243899720380087,0.017670444335913665
158,0.030615065820891123,0.01785846752569145
159,0.03099017250470635,0.018047943919884388
160,0.03136927057604761,0.01823888682522555
161,0.03175241155167022,0.01843130967968662
162,0.032139647671187106,0.0186252260538136
163,0.03253103190754449,0.01882064965207634
164,0.03292661797765121,0.019017594314231945
165,0.03332646035316423,0.019216074016702306
166,0.03373061427143246,0.019416102873965765
167,0.03413913574660129,0.01961769513996326
168,0.03455208158088007,0.019820865209518854
169,0.034969509375975254,0.020025627619775013
170,0.035391477544691324,0.020231997051642657
171,0.03581804532270207,0.0204399883312662
172,0.036249272780494946,0.020649616431503724
173,0.03668522083549075,0.020860896473422326
174,0.03712595126434136,0.021073843727809127
175,0.03757152671540829,0.02128847361669764
176,0.038022010721424346,0.021504801714910017
177,0.03847746771234168,0.021722843751615255
178,0.03893796302836832,0.021942615611903388
179,0.039403562933196475,0.022164133338376052
180,0.039874334627425304,0.022387413132753324
181,0.0403503462621808,0.022612471357497353
182,0.04083166695293611,0.02283932453745259
183,0.04131836679353482,0.02306798936150304
184,0.04181051687042058,0.023298482684246613
185,0.04230818927707583,0.023530821527686818
186,0.042811457128672833,0.023765023082941823
187,0.043320394576940355,0.02400110471197131
188,0.043835076825248606,0.024239083949321075
189,0.044355580143916364,0.024478978503885668
190,0.04488198188574315,0.024720806260689288
191,0.04541436050176974,0.024964585282685046
192,0.045952795557270665,0.025210333812572823
193,0.04649736774798191,0.02545807027463594
194,0.04704815891656734,0.02570781327659677
195,0.047605252069327475,0.025959581611491575
196,0.048168731393154016,0.026213394259564676
197,0.04873868227273391,0.02646927039018228
198,0.049315191308006545,0.026727229363765932
199,0.049898346331877966,0.026987290733746165
200,0.05048823642819561,0.027249474248536187
201,0.05108495194998784,0.02751379985352606
202,0.051688584537971705,0.02778028769309742
203,0.05229922713933331,0.028048958112659145
204,0.05291697402678465,0.028319831660703912
205,0.05354192081790092,0.028592929090886204
206,0.05417416449474256,0.028868271364121664
207,0.05481380342376624,0.029145879650708216
208,0.055460937376029,0.029425775332469123
209,0.05611566754768997,0.029707980004918207
210,0.05677809658081377,0.02999251547944748
211,0.057448328584480804,0.03027940378553734
212,0.05812646915620777,0.030568667172989755
213,0.058812625403684315,0.030860328114184384
214,0.05950690596682949,0.03115440930635817
215,0.0602094210401732,0.031450933673908506
216,0.060920282395567446,0.031749924370720134
217,0.06163960340523196,0.03205140478251624
218,0.06236749906513968,0.032355398529233755
219,0.06310408601874655,0.03266192946742337
220,0.06384948258107088,0.032971021692674296
221,0.06460380876312793,0.03328269954206407
222,0.06536718629672414,0.0335969875966339
223,0.06613973865961699,0.033913910683889444
224,0.06692159110104558,0.03423349388032748
225,0.06771287066763754,0.034555762513988945
226,0.06851370622969781,0.034880742167038084
227,0.0693242285078848,0.035208458678368554
228,0.07014457010027986,0.03553893814623636
229,0.07097486550985592,0.035872206930920116
230,0.07181525117235076,0.036208291657408805
231,0.07266586548455163,0.03654721921811742
232,0.07352684883299658,0.03688901677563064
233,0.074398343623099,0.03723371176547504
234,0.07528049430870185,0.03758133189891981
235,0.07617344742206747,0.037931905165806724
236,0.07707735160430959,0.03828545983740919
237,0.07799235763627455,0.03864202446932101
238,0.07891861846987726,0.03900162790437511
239,0.0798562892599001,0.03936429927559233
240,0.08080552739626025,0.039730068009161006
241,0.08176649253675317,0.040098963827447084
242,0.08273934664027924,0.04047101675203574
243,0.08372425400056027,0.040846257106804326
244,0.08472138128035356,0.041224715521027085
245,0.0857308975461707,0.0416064229325123
246,0.08675297430350849,0.041991410590771557
247,0.08778778553259989,0.04237971006022224
248,0.08883550772469213,0.04277135322342289
249,0.08989631991886055,0.04316637228434228
250,0.09097040373936525,0.043564799771662194
251,0.09205794343355922,0.04396666854211466
252,0.09315912591035592,0.04437201178385349
253,0.09427414077926455,0.04478086301986097
254,0.09540318039000113,0.045193256111389746
255,0.0965464398726848,0.0456092252614404
256,0.09770411717862686,0.046028805018275123
257,0.09887641312172213,0.04645203027896763
258,0.1000635314204513,0.04687893629299013
259,0.10126567874050317,0.047309558665837206
260,0.10248306473802632,0.04774393336268745
261,0.10371590210351889,0.048182096712102995
262,0.10496440660636694,0.048624085409767245
263,0.10622879714003976,0.04906993652226167
264,0.10750929576795276,0.04951968749088145
265,0.10880612777000767,0.04997337613549081
266,0.11011952168981964,0.05043104065841833
267,0.1114497093826419,0.05089271964839254
268,0.11279692606399797,0.051358452084518516
269,0.11416141035903232,0.05182827734029542
270,0.1155434043525895,0.05230223518767599
271,0.11694315364003327,0.05278036580116796
272,0.11836090737881563,0.05326270976197796
273,0.11979691834080822,0.053749308062198506
274,0.12125144296540638,0.054240202109038405
275,0.12272474141341744,0.054735433729096936
276,0.12421707762174525,0.05523504517268239
277,0.12572871935888225,0.05573907911817552
278,0.12725993828122142,0.056247578676437926
279,0.12881100999020043,0.056760587395266626
280,0.13038221409028927,0.05727814926389442
281,0.13197383424783532,0.05780030871753711
282,0.13358615825077738,0.05832711064198791
283,0.13521947806924178,0.05885860037825941
284,0.1368740899170348,0.059394823727273824
285,0.1385502943140424,0.05993582695460167
286,0.14024839614955292,0.060481656795249986
287,0.14196870474651505,0.06103236045849976
288,0.1437115339267456,0.06158798563279387
289,0.14547720207710046,0.06214858049067572
290,0.14726603221662424,0.06271419369377881
291,0.1490783520646916,0.06328487439786856
292,0.1509144941101558,0.06386067225793597
293,0.15277479568151964,0.06444163743334447
294,0.1546595990181427,0.06502782059303
295,0.1565692513425022,0.06561927292075505
296,0.15850410493352105,0.06621604612041737
297,0.16046451720098015,0.06681819242141361
298,0.16245085076103075,0.06742576458405868
299,0.16446347351282248,0.06803881590506133
300,0.16650275871626521,0.06865740022305664
